Planet,mass,radius,density,g,ve,a,Tsurf,Teq,ESIi,ESIs,ESIg
703.01,6.935,1.7,1.41,2.4,2.02,0.03,1896,1866,0.83,0.021,0.132
1230.01,12252.6,50.2,0.1,4.86,15.63,0.67,680,650,0.155,0.112,0.132
214.01,400.728,12.1,0.23,2.74,5.76,0.04,1149,1119,0.341,0.051,0.132
194.01,392.813,12,0.23,2.73,5.72,0.04,1163,1133,0.343,0.05,0.131
XO-5b,410.361,12.22,0.22,2.75,5.8,0.05,1164,1134,0.34,0.049,0.13
CoRoT-4b,228.839,13.35,0.1,1.28,4.14,0.09,1006,976,0.223,0.075,0.13
1187.01,9.049,2.5,0.58,1.45,1.9,0.01,1819,1789,0.721,0.024,0.13
421.01,619.084,14.5,0.2,2.94,6.54,0.05,1098,1068,0.31,0.054,0.13
186.01,354.613,11.5,0.23,2.68,5.55,0.04,1186,1156,0.351,0.048,0.13
697.01,28.006,4,0.44,1.75,2.65,0.04,1631,1601,0.589,0.028,0.129
5.01,107.519,7,0.31,2.19,3.92,0.06,1406,1376,0.452,0.036,0.127
195.01,384.99,11.9,0.23,2.72,5.69,0.04,1195,1165,0.344,0.047,0.127
20.01,458.735,12.8,0.22,2.8,5.99,0.05,1175,1145,0.331,0.048,0.126
HD 189733b,365.507,12.92,0.17,2.19,5.32,0.03,1143,1113,0.295,0.053,0.125
WASP-7b,305.119,10.27,0.28,2.89,5.45,0.06,1292,1262,0.392,0.04,0.125
1543.01,660.936,14.9,0.2,2.98,6.66,0.05,1132,1102,0.306,0.05,0.124
97.01,318.675,11,0.24,2.63,5.38,0.06,1256,1226,0.359,0.043,0.124
972.01,55.087,5.3,0.37,1.96,3.23,0.13,1570,1540,0.517,0.029,0.123
609.01,392.813,12,0.23,2.73,5.72,0.05,1230,1200,0.343,0.044,0.123
WASP-16b,271.746,11.31,0.19,2.12,4.9,0.04,1222,1192,0.32,0.047,0.122
HD 187123b,165.273,8.37,0.28,2.36,4.44,0.04,1384,1354,0.413,0.036,0.122
340.01,3669.44,30.4,0.13,3.97,10.99,0.17,892,862,0.207,0.072,0.122
1459.01,103.864,6.9,0.32,2.18,3.88,0.01,1465,1435,0.455,0.033,0.122
HD 75289b,133.489,7.66,0.3,2.28,4.18,0.05,1431,1401,0.432,0.034,0.121
WASP-2b,269.204,11.7,0.17,1.97,4.8,0.03,1212,1182,0.301,0.048,0.12
1241.02,107.519,7,0.31,2.19,3.92,0.11,1476,1446,0.452,0.032,0.12
882.01,530.705,13.6,0.21,2.87,6.25,0.03,1206,1176,0.321,0.045,0.12
10.01,284.959,10.5,0.25,2.58,5.21,0.05,1317,1287,0.368,0.039,0.119
XO-1b,286.049,13.29,0.12,1.62,4.64,0.05,1136,1106,0.251,0.056,0.118
HD 88133b,69.923,5.85,0.35,2.04,3.46,0.05,1583,1553,0.493,0.028,0.118
256.01,650.323,14.8,0.2,2.97,6.63,0.02,1190,1160,0.307,0.045,0.118
OGLE-TR-113b,394.111,12.46,0.2,2.54,5.63,0.02,1255,1225,0.324,0.042,0.117
HD 185269b,298.762,10.71,0.24,2.61,5.28,0.08,1333,1303,0.364,0.037,0.117
XO-2b,181.164,10.92,0.14,1.52,4.07,0.04,1234,1204,0.281,0.048,0.116
684.01,161.928,8.3,0.28,2.35,4.42,0.05,1444,1414,0.415,0.033,0.116
HAT-P-2b,2777.85,13.35,1.17,15.58,14.43,0.07,1398,1368,0.544,0.024,0.115
552.01,332.781,11.2,0.24,2.65,5.45,0.04,1346,1316,0.355,0.036,0.113
767.01,588.74,14.2,0.21,2.92,6.44,0.04,1251,1221,0.314,0.041,0.113
HD 73256b,594.345,14.26,0.21,2.92,6.46,0.04,1256,1226,0.313,0.04,0.112
196.01,253.423,10,0.25,2.53,5.04,0.03,1407,1377,0.377,0.033,0.112
356.01,68.417,5.8,0.35,2.03,3.44,0.03,1685,1655,0.495,0.024,0.11
HD 149026b,113.148,6.85,0.35,2.41,4.07,0.04,1635,1605,0.476,0.025,0.109
1419.01,68.417,5.8,0.35,2.03,3.44,0.02,1704,1674,0.495,0.024,0.108
1442.01,5.559,1.6,1.36,2.17,1.86,0.01,2272,2242,0.849,0.014,0.108
HD 179949b,301.94,10.76,0.24,2.61,5.3,0.04,1429,1399,0.363,0.032,0.107
128.01,749.478,15.7,0.19,3.04,6.91,0.06,1270,1240,0.297,0.039,0.107
299.01,21.74,3.6,0.47,1.68,2.46,0.03,2032,2002,0.617,0.017,0.102
1285.01,148.214,8,0.29,2.32,4.31,0.02,1636,1606,0.422,0.025,0.102
897.01,392.813,12,0.23,2.73,5.72,0.03,1447,1417,0.343,0.03,0.102
801.01,229.736,9.6,0.26,2.49,4.89,0.03,1555,1525,0.385,0.027,0.101
HAT-P-16b,1332.669,14.46,0.44,6.37,9.6,0.04,1516,1486,0.427,0.023,0.099
HAT-P-14b,699.23,13.47,0.29,3.86,7.21,0.06,1477,1447,0.367,0.027,0.099
HAT-P-1b,166.544,13.66,0.07,0.89,3.49,0.06,1213,1183,0.183,0.052,0.098
225.01,45.617,4.9,0.39,1.9,3.05,0.02,1933,1903,0.536,0.018,0.098
WASP-22b,177.986,12.57,0.09,1.13,3.76,0.05,1330,1300,0.219,0.041,0.095
1382.01,2099.69,24.1,0.15,3.62,9.34,0.05,1221,1191,0.235,0.038,0.095
CoRoT-2b,1052.023,16.44,0.24,3.89,8,0.03,1436,1406,0.321,0.028,0.094
809.01,408.735,12.2,0.23,2.75,5.79,0.03,1542,1512,0.34,0.026,0.094
HD 86081b,476.748,13.01,0.22,2.82,6.06,0.04,1517,1487,0.329,0.027,0.093
WASP-26b,324.188,14.81,0.1,1.48,4.68,0.04,1321,1291,0.221,0.039,0.093
XO-3b,3747.237,13.66,1.47,20.09,16.57,0.05,1592,1562,0.504,0.017,0.093
98.01,400.728,12.1,0.23,2.74,5.76,0.08,1558,1528,0.341,0.025,0.093
202.01,354.613,11.5,0.23,2.68,5.55,0.03,1589,1559,0.351,0.024,0.093
WASP-14b,2455.251,14.13,0.87,12.3,13.19,0.04,1721,1691,0.538,0.015,0.091
OGLE-TR-182b,336.902,16.5,0.08,1.24,4.52,0.05,1265,1235,0.187,0.044,0.091
100.01,530.705,13.6,0.21,2.87,6.25,0.1,1523,1493,0.321,0.026,0.091
981.01,71.287,5.9,0.35,2.05,3.48,0.06,1958,1928,0.491,0.017,0.091
64.01,171.467,8.5,0.28,2.37,4.49,0.03,1790,1760,0.41,0.02,0.09
HAT-P-5b,336.902,14.14,0.12,1.69,4.88,0.04,1437,1407,0.244,0.032,0.089
203.01,549.66,13.8,0.21,2.89,6.31,0.03,1548,1518,0.318,0.025,0.089
WASP-5b,520.291,13.14,0.23,3.01,6.29,0.03,1614,1584,0.336,0.023,0.087
961.02,608.871,14.4,0.2,2.94,6.5,0.01,1554,1524,0.311,0.025,0.087
1541.01,1439.91,20.6,0.16,3.39,8.36,0.04,1424,1394,0.256,0.028,0.085
823.01,181.326,8.7,0.28,2.4,4.57,0.02,1904,1874,0.405,0.017,0.082
HD 209458b,203.412,15.49,0.05,0.85,3.63,0.05,1344,1314,0.162,0.041,0.081
Kepler-6b,212.629,14.85,0.06,0.96,3.79,0.05,1404,1374,0.179,0.036,0.081
1448.01,1976.22,23.5,0.15,3.58,9.17,0.04,1413,1383,0.238,0.028,0.081
2.01,362.07,11.6,0.23,2.69,5.59,0.04,1773,1743,0.349,0.019,0.081
tau Boob,1239.544,19.36,0.17,3.31,8.01,0.05,1545,1515,0.265,0.023,0.079
1540.01,1231.07,19.3,0.17,3.31,7.99,0.02,1546,1516,0.266,0.023,0.079
HAT-P-13b,270.157,14.36,0.09,1.31,4.34,0.04,1535,1505,0.213,0.029,0.078
HAT-P-9b,247.909,15.71,0.06,1,3.97,0.05,1428,1398,0.174,0.035,0.078
HAT-P-6b,335.948,14.92,0.1,1.51,4.75,0.05,1560,1530,0.222,0.027,0.077
CoRoT-5b,148.427,15.58,0.04,0.61,3.09,0.05,1347,1317,0.136,0.042,0.076
Kepler-5b,671.896,16.06,0.16,2.61,6.47,0.05,1683,1653,0.273,0.02,0.075
1401.01,12.55,2,1.57,3.14,2.51,0.01,2850,2820,0.778,0.007,0.075
102.01,103.864,6.9,0.32,2.18,3.88,0.03,2205,2175,0.455,0.012,0.075
HAT-P-4b,216.126,14.25,0.07,1.06,3.9,0.04,1573,1543,0.194,0.028,0.073
HAT-P-8b,483.104,16.83,0.1,1.71,5.36,0.05,1588,1558,0.215,0.025,0.073
OGLE-TR-211b,238.374,14.14,0.08,1.19,4.11,0.05,1612,1582,0.206,0.026,0.073
CoRoT-3b,6884.236,11.33,4.73,53.6,24.65,0.06,1585,1555,0.337,0.015,0.072
1.01,1390.01,20.3,0.17,3.37,8.28,0.04,1633,1603,0.258,0.02,0.072
OGLE-TR-132b,371.863,14.03,0.13,1.89,5.15,0.03,1842,1812,0.259,0.018,0.067
Kepler-8b,191.653,15.92,0.05,0.76,3.47,0.05,1550,1520,0.149,0.03,0.067
WASP-3b,654.733,16.32,0.15,2.46,6.34,0.03,1845,1815,0.262,0.016,0.066
WASP-15b,172.265,16.02,0.04,0.67,3.28,0.05,1542,1512,0.14,0.03,0.065
Kepler-7b,137.621,16.59,0.03,0.5,2.88,0.06,1454,1424,0.117,0.036,0.065
WASP-4b,356.448,15.89,0.09,1.41,4.74,0.02,1745,1715,0.205,0.02,0.065
OGLE-TR-10b,216.126,19.3,0.03,0.58,3.35,0.04,1415,1385,0.112,0.037,0.064
WASP-19b,365.507,14.7,0.12,1.69,4.99,0.02,1857,1827,0.237,0.017,0.064
WASP-1b,273.335,16.65,0.06,0.99,4.05,0.04,1651,1621,0.165,0.024,0.064
WASP-18b,3314.985,13.07,1.48,19.4,15.93,0.02,2218,2188,0.508,0.008,0.063
OGLE-TR-56b,413.181,13.47,0.17,2.28,5.54,0.02,2074,2044,0.291,0.013,0.061
CoRoT-1b,327.367,16.72,0.07,1.17,4.43,0.03,1765,1735,0.18,0.02,0.06
HAT-P-7b,572.097,15.95,0.14,2.25,5.99,0.04,1981,1951,0.256,0.014,0.06
WASP-17b,155.738,19.53,0.02,0.41,2.83,0.05,1533,1503,0.092,0.032,0.054
1452.01,1686.47,22,0.16,3.48,8.76,0.02,2592,2562,0.247,0.006,0.04
WASP-12b,448.143,20.09,0.06,1.11,4.73,0.02,2331,2301,0.152,0.01,0.039
13.01,1423.16,20.5,0.17,3.39,8.33,0.04,3287,3257,0.257,0.004,0.03
Name,(EU),(EU),(EU),(EU),(EU),(AU),(K),(K),,,
